epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,23391.3,1.19102,1.39247,1.23795,0.64265,0.46758,0.51691,0.36689,1.13947,1.2158,1.17435,0.002773,0.002773,0.002773
75,23706.3,1.19157,1.39079,1.23751,0.64118,0.47084,0.51767,0.36716,1.13929,1.21534,1.17412,0.002674,0.002674,0.002674
76,24021.2,1.18978,1.38513,1.23545,0.64301,0.46969,0.51806,0.36764,1.13861,1.21469,1.17349,0.002575,0.002575,0.002575
77,24335.7,1.1896,1.38247,1.2353,0.64097,0.47091,0.51833,0.36808,1.13791,1.21474,1.17291,0.002476,0.002476,0.002476
78,24650.3,1.18535,1.37397,1.23296,0.63276,0.4716,0.51838,0.36833,1.13729,1.21461,1.17231,0.002377,0.002377,0.002377
79,24965.2,1.18514,1.37285,1.23267,0.62989,0.4734,0.51869,0.36838,1.13703,1.21467,1.17201,0.002278,0.002278,0.002278
80,25280.3,1.18244,1.36653,1.23007,0.63473,0.4715,0.51912,0.36897,1.13632,1.21503,1.17119,0.002179,0.002179,0.002179
81,25594.8,1.17905,1.36205,1.22872,0.63295,0.47316,0.51971,0.36923,1.13544,1.21486,1.17058,0.00208,0.00208,0.00208
82,25909.4,1.17597,1.35535,1.22665,0.63486,0.47301,0.52004,0.36964,1.13479,1.21454,1.17,0.001981,0.001981,0.001981
83,26221.6,1.17343,1.34781,1.22489,0.63791,0.47287,0.52013,0.37009,1.13455,1.21463,1.16971,0.001882,0.001882,0.001882
84,26536.6,1.17127,1.34351,1.22313,0.6384,0.47416,0.52085,0.37053,1.13425,1.21451,1.16931,0.001783,0.001783,0.001783
85,26851.3,1.1689,1.33795,1.22198,0.63967,0.47351,0.5211,0.3706,1.13393,1.21482,1.1688,0.001684,0.001684,0.001684
86,27165.7,1.16489,1.32877,1.21997,0.63659,0.4749,0.52153,0.37112,1.13364,1.21451,1.16835,0.001585,0.001585,0.001585
87,27479.9,1.16468,1.32641,1.2191,0.63731,0.47585,0.5222,0.37135,1.1333,1.21396,1.16792,0.001486,0.001486,0.001486
88,27794,1.16043,1.31975,1.21618,0.64144,0.4744,0.52308,0.37193,1.13299,1.21364,1.16732,0.001387,0.001387,0.001387
89,28107.6,1.15688,1.31229,1.21395,0.63698,0.47645,0.5236,0.37237,1.1326,1.21347,1.16677,0.001288,0.001288,0.001288
90,28421.2,1.15585,1.30612,1.21217,0.63809,0.47578,0.52383,0.37268,1.13202,1.21335,1.16609,0.001189,0.001189,0.001189
91,28731.2,1.15144,1.22127,1.19959,0.63524,0.47771,0.52452,0.37318,1.13131,1.21347,1.16548,0.00109,0.00109,0.00109
92,29039.1,1.14366,1.20283,1.19546,0.63453,0.47782,0.5251,0.37385,1.13022,1.21402,1.16471,0.000991,0.000991,0.000991
93,29346.7,1.13768,1.18817,1.19048,0.63483,0.47923,0.52552,0.37445,1.12917,1.21445,1.16366,0.000892,0.000892,0.000892
94,29653.7,1.13269,1.17707,1.18734,0.63762,0.47935,0.52596,0.37495,1.12825,1.21465,1.16291,0.000793,0.000793,0.000793
95,29961,1.12776,1.16417,1.18316,0.63779,0.47987,0.52639,0.3755,1.12733,1.21474,1.16203,0.000694,0.000694,0.000694
96,30269,1.12124,1.15241,1.17912,0.63614,0.48184,0.52676,0.37583,1.12644,1.21481,1.16116,0.000595,0.000595,0.000595
97,30576.6,1.11651,1.14222,1.17582,0.63834,0.48218,0.52764,0.37632,1.12576,1.2142,1.16055,0.000496,0.000496,0.000496
98,30884,1.1119,1.13248,1.17366,0.64095,0.48164,0.52808,0.37697,1.12521,1.21345,1.16006,0.000397,0.000397,0.000397
99,31190.5,1.10721,1.11992,1.16949,0.64304,0.48131,0.52863,0.37756,1.12457,1.21201,1.15924,0.000298,0.000298,0.000298
100,31498,1.10081,1.10784,1.16458,0.64029,0.48332,0.52944,0.378,1.12423,1.2103,1.15864,0.000199,0.000199,0.000199
